,part_number,description_x,lot,qty
356,PS#10115,38-400 Orange Ribbed Lid - Pressure Sensitive liner 2900/cs,"201601385053
","1,878.00"
617,PS#10369,11x8x4 Box,,"1,800.00"
230,PS#10010,ALPHA - 150cc Black PET Bottle 38-400 410/case,"8114756
","1,800.00"
555,PS#10298-Innovative Molding,45-400 Black Smooth Sides Lid Heat Seal Liner,"JR00052002
","1,800.00"
351,PS#10109-COMAR,500cc White HDPE Bottle 45-400,"13092576
","1,764.00"
346,PS#10106,EMP-89-400 White Fine Rib Lid - Heat Inductive Liner,"0029863
","1,759.00"
361,PS#10120,COMAR (PZ) - 200cc Green PET Bottle 38-400,"10393724
","1,748.00"
481,PS#10231-ALPHA,300cc Blue PET 45/400 bottle,"U205326
","1,665.00"
371,PS#10135,7.5cc Natural Scoop Medium Handle,"1617632
","1,600.00"
752,R082,0 Gelatin Clear Capsules,"C2100321019
","1,600,000.00"
236,PS#10013-COMAR,200cc White PET Bottle 38-400,"13006836
","1,560.00"
457,PS#10217,18CC NATURAL LONG HANDLE SCOOP,"4329304
","1,504.00"
277,PS#10026,38-400 Black Ribbed Lid - Heat Inductive Liner Matte Top 2900/case,"JR00049940
","1,500.00"
280,PS#10027,MRP-38-400 White Ribbed CRC Lid - Heat Inductive Liner 1400/case,"202011591277
","1,500.00"
392,PS#10162,45-400 Black Ribbed Pressure Sensitive liner Matte Top finish,"201812513994
","1,500.00"
464,PS#10222,38-400 CRC BLACK PICTORIAL (021) HS035 .020 FOAM PRINTED,"201901516127
","1,500.00"
950,R1233,00 K-CAPS Vegetable Origin Capsules,"KC210324323
","1,500,000.00"
132,L#263,"aSquared Brands, Berberine - 180ct Label",,"1,480.00"
222,PS#10008-ALPHA,400cc White HDPE Bottle 45-400,"13556840
","1,454.00"
329,PS#10101,MRP - 45-400 White Smooth Heat Inductive Lid,"202107612072
","1,400.00"
541,PS#10289,Dri-CardÃ¯Â¿Â½ Desiccants - Gram Size 0.50,"XXXXX
","1,400.00"
1326,R539,00 Plantcaps Clear Capsules,"7201005
","1,400,000.00"
358,PS#10117,53-400 Black Lid - Pressure Sensitive liner 1300/case,"POM 10033327-2
","1,380.00"
237,PS#10013-COMAR,200cc White PET Bottle 38-400,"13006832
","1,365.00"
148,L#420,"V-Brilliance Healthcare Co. LTD, Prenatal Multivitamin Capsule - 60 ct Label",,"1,349.00"
436,PS#10210,COMAR - 150cc Cobalt Blue PET 38-400 (PX-short),"13616937
","1,333.00"
150,L#436,"Tru Body Wellness, Silagen Bruise Supplement - 14 ct Label",,"1,327.00"
558,PS#10302,89-400 Black Ribbed Lid - Heat Induction liner,"201712471234
","1,300.00"
415,PS#10188,MRP-45-400 White Smooth Lid - Pressure Sensitive Liner,"201810506732
","1,265.00"
412,PS#10184,38-400 Blue Ribbed Lid - Pressure Sensitive Liner (Custom Lid),,"1,261.00"
442,PS#10210,COMAR - 150cc Cobalt Blue PET 38-400 (PX-short),"F161811
","1,230.00"
477,PS#10230,COMAR - 150cc Clear PET Bottle 38-400,"13616847
","1,224.00"
480,PS#10230-TIM,150cc Clear PET Bottle 38-400,"Y011575
","1,200.00"
484,PS#10231-TIM,300cc Blue PET 45/400,"5/14
","1,200.00"
299,PS#10057,Clear neckband 77 x 28mm,"10057
","1,200.00"
957,R1233,00 K-CAPS Vegetable Origin Capsules,"KC210324647
","1,200,000.00"
955,R1233,00 K-CAPS Vegetable Origin Capsules,"KC210320100
","1,200,000.00"
478,PS#10230-ALPHA,150cc Clear PET Bottle 38-400,"F201256
","1,170.00"
517,PS#10268,ALPHA - 250cc Dark Amber PET Bottle 45-400,"P204563
","1,161.00"
390,PS#10161-ALPHA,250cc Black PET Bottles 45-400 neck finish,"M207471
","1,139.00"
170,L#496,Nature Gains LLC - Natu Roids Capsule - 60 ct AMAZON BARCODE,,"1,130.00"
462,PS#10220,COMAR-100cc Clear PET Bottle 38-400,"8362044
","1,120.00"
402,PS#10172,"3cc Natural Scoop Medium Handle (3"")","4322123
","1,100.00"
417,PS#10191,"38-400 Black lid, smooth sides, pressure sensitive liner","20190553177
","1,100.00"
259,PS#10019,38-400 White Ribbed Lid - Pressure Sensitive Liner 2900/case,"201910551175
","1,095.00"
225,PS#10008-ALPHA,400cc White HDPE Bottle 45-400,"P205834
","1,080.00"
761,R1001,00 Gelatin Lt Blue Op 0570 Body/Black Op 1975 Cap,"7167810
","1,050,000.00"
401,PS#10169,MRP-70-400 Red Lid  Smooth Sides Heat Seal liner,"201505357190
","1,025.00"
218,PS#10007-ALPHA,300cc White HDPE Bottle 45-400,"P192105
","1,020.00"
493,PS#10247,150cc Black PET Bottle 38-400 (PX-Short Style),"46419
","1,010.00"
326,PS#10096-COMAR,225cc Green PET Bottle 45-400 PX,"1230256
","1,005.00"
369,PS#10130,Hold Slips 2.83 X 5.5 White 20#,"12347
","1,000.00"
373,PS#10137,38-400 White Ribbed Lid - Heat Seal Vented Liner,"L4002HF
","1,000.00"
508,PS#10255,"86mm x 28mm ""SFYP"" cutband (no perf)","10255
","1,000.00"
595,PS#10342,38-400 Blue Smooth Lid - Heat Inductive Liner pantone color 286 (Custom Lid),"201705445832
","1,000.00"
281,PS#10027,MRP-38-400 White Ribbed CRC Lid - Heat Inductive Liner 1400/case,"202007581081
","1,000.00"
561,PS#10306,"Yellow 3 x 5"" HOLD Slip - Inventory 1000/Roll","1123456
","1,000.00"
934,R1212,BoswellinÃÂ® Super (30% AKBBA),"C201361
",0.992
855,R1122,Bacopa Monnieri (50% Bacosides),"BMB-050/1808/F-30
",0.987
1515,R907,Green Tea Extract (95% Polyphenols) (45% EGCG) (55-75% Catechins (18:1)),"202007223
",0.974
1418,R742,FD&C YELLOW NO. 6 POWDER,"AY3861
",0.967
828,R109,Lutein 5%,"YHS-210223
",0.956
1388,R694,Betaine Anhydrous (Trimethylglycine),"20210325
",0.942
1293,R465,Calcium Gluconate 9%,"536077
",0.938
1370,R652,Iron (Ferrous) Gluconate 10%,"1036640
",0.928
839,R1101,Vitamin E (d-alpha-tocopherol) Acetate 700 IU/g (Natural),"MVA-SM700200511
",0.91
1166,R266,L-Lysine HCl,"20191211
",0.902
703,R046,Vitamin B6 Pyridoxine HCl,"05200407
",0.892
746,R075,Vanadium Aminomin 0.5%,"546895
",0.877
1170,R272,Molybdenum Aminomin 0.2%,"557849
",0.875
1194,R326,Fennel Seed Extract 5:1,"CXHX-A-832089
",0.874
1569,R987,"Green Tea Extract (98% Polyphenols, 70% EGCG, 80% Catechins, <1% Caffeine)","GT202006009
",0.87
1551,R959,Maca Extract 0.6% Macamides and Macaenes HPLC (6:1) - Jiaherb,"CMAK-A-902102
",0.87
1257,R429,Papaya Leaf Powder,"SB19-H030318
",0.87
1447,R816,Vitamin K2 MK-7 1% MCC (Origin: Non-Chinese),"1905
",0.87
775,R1026,Organic Rhubarb Root Powder,"1116C-TCP
",0.87
1201,R343,Shiitake Mushroom Powder,"20-05-070
",0.859
1391,R696,L-Citrulline DL-Malate 2:1,"IBCF180706
",0.85
735,R065,Vitamin B12 Pure Cyanocobalamin,"012105050
",0.806
1213,R364,Potassium Krebs 33%,"20200113
",0.80
1176,R284,Tart Cherry Extract 10:1,"20082101
",0.80
1152,R246,L-Carnitine Tartrate,"LT200506
",0.80
1281,R454,Blessed Thistle Powder,"CZYH-C-A002995
",0.799
770,R1015,Iron (FerrochelÃ¯Â¿Â½),"19025201
",0.788
1549,R958,HMR LingnanÃ¯Â¿Â½,"12818003
",0.782
1030,R1321,Phosphatidylserine 20% (from Sunflower),"PSUN052001
",0.777
1571,R990,Nettle Leaf Extract 0.8% Beta Sisterol GC 10:1,"CQM-A-702435
",0.762
1435,R795,AstraGin,"C20190412
",0.762
788,R1035,Caprylic Acid (Magnesium Caprylate),"1008509
",0.753
892,R1157,Monk Fruit Extract (25% Mogrosides),"LHG-190225
",0.745
1420,R748,Copper Glycinate 10%,"532807
",0.714
1003,R1285,Lyophilized Royal Jelly (6% 10-HDA),"RJ20190403
",0.702
700,R042,Ashwagandha Root Extract (2.5% Withanolides),NIGW525-1908V4371413,0.70
1537,R936,UC-IIÃÂ® Standardized Chicken Cartilage,"20FS16169
",0.659
826,R1088,QUERCEFITÃ¯Â¿Â½,"32874/M1
",0.656
1389,R695,Waxy Maize,"20200314118
",0.654
1452,R825,Magnesium Beta Hydroxybutyrate (BHB),"BM20210405
",0.652
1198,R336,Grapefruit Extract 4:1,"CPGE/20-03-047-B
",0.644
1417,R740,FD&C BLUE NO. 1 POWDER,"AY2946
",0.638
851,R1118,Chromium Chloride (India),"549522
",0.625
786,R1033,Red Yeast Rice (Monascus purureus),"CHQM-B-902883
",0.60
1259,R430,Pomegranate Fruit Powder,"20170607
",0.59
1376,R673,Asparagus Powder,"ASP/20-01-019
",0.583
671,R017,Oat Straw Extract 4:1,"18-03-080/0124
",0.58
1226,R388,Calcium D-Glucarate,"TRF-1805V567508
",0.565
1368,R641,Broccoli Extract 10:1,"20-03-051
",0.564
759,R097,Carrot Powder,"20-03-045
",0.564
1349,R602,Cauliflower Powder,"19-12-204
",0.562
1123,R205,Gotu Kola Herb Powder,"CJXC-A-902156
",0.552
1375,R665,Bromelain (Pineapple Extract),"SB20-H060896
",0.549
841,R1106,Chamomile Flower Powder,"CYGJ-A-902590
",0.549
1576,R995,Schisandra Berry Powder (Shisandra Chinensis),"WWZ-190712
",0.542
854,R1121,Lycopodium Serratum (1% Huperzine HPLC),H040.S01000.G0034.20,0.54
1219,R372,Rice Bran Powder,"21-01-025
",0.51
1533,R925,Uva Ursi Leaf Powder (Organic),"95106-53
",0.507
844,R1109,Lemongrass Leaf Powder,"19-06-090
",0.501
1224,R382,Marshmallow Powder,"YSKSF-20210320
",0.50
796,R1042,Bee Propolis Powder,"20-05-069-ER47
",0.50
1348,R595,Peppermint Leaf Powder,"CLBOH-C-925854
",0.49
1318,R512,Vitamin K2 MK-7 1% DCP,NIGVITK21-2006V19706,0.43
1310,R501,Nettle Root Extract 4:1,"20-03-036
",0.414
1343,R580,Cetyl Myristoleate 20% (CMO),"NJSD334315
",0.406
1358,R620,Collagen Porcine Hydrolyzed,"1903001
",0.387
968,R1243,Grape Seed Extract 4:1 (Vitis vininfera),"18-10-227
",0.385
1011,R1302,Okra Fruit Extract,"20-11-177
",0.364
1005,R1287,Luteolin 98% (Sophora japonica) (bud),"LQ20201118
",0.355
1101,R168,Borage Extract 4:1,"N20259
",0.33
1012,R1303,Prune Powder,"20-03-041
",0.325
925,R1202,LactoSporeÃÂ® (Bacillus coagulans) 100B (1201),"M200136
",0.318
810,R1063,L Methylfolate Calcium Salt (5-MTHF),"LMF201233
",0.30
1162,R259,L-Cysteine Mono HCl,"121903002
",0.298
1094,R155,Vitamin B12 1% Cyanocobalamin,"T2004006
",0.291
16,CS#5214,OptiMSM,"2010201
",0.25
998,R1278,Vitamin K2 (as Menaquinone-7) (MK-7) (MenaQ7ÃÂ®),WM/MQ7/1000P/XTL/201,0.23
1144,R234,Raspberry Ketones 99%,"RK200187
",0.228
1478,R853,Oyster Meat 4:1 Powdered Extract,"OYM-18[-01-005-B
",0.214
1322,R531,Ginkgo Biloba Extract 4:1,"20-11-177
",0.20
932,R1209,Hops Flower Extract 4:1,"20-08-117
",0.20
1387,R693,Beta Alanine,"C651908023
",0.20
817,R1073,Calcium Bisglycinate Chelate 18% (TRAACSÃ¯Â¿Â½),"19014201
",0.175
1541,R938,SAM-e (S-Adenosyl Methionine Tosylate Disulfate),"C200401
",0.17
1147,R236,Biotin Pure (Vitamin B7),"01201206
",0.17
755,R087,Oregon Grape Root Powder,"OGP/19-05-079
",0.159
1501,R888,Hydrolyzed Bovine Collagen (Osage),"C2019057
",0.158
1378,R679,Reishi Mushroom Powder,"19-03-044
",0.144
1380,R679,Reishi Mushroom Powder,"YZKP01190216
",0.135
1146,R235,Melatonin,"19082213
",0.128
919,R1195,Wildcrafted Soursop (Graviola) Leaf Powder (Annona muricata),"559205
",0.123
942,R1222,Cascara Sagrada Bark Extract (10% Emodin),"C006515
",0.12
890,R1151,CDP Choline (Citicoline),"CDPC-20190315
",0.113
1095,R156,Bee Pollen Extract 4:1,"BP-19-11-185-B
",0.112
1465,R841,Green Tea Leaf Powder,"CLC-C-902912
",0.10
1289,R462,Chromium Nicotinate 10%,"544214
",0.098
1531,R924,Triphala Powder (organic),"93324-53
",0.098
756,R093,Garlic Extract 4:1,"SB19-H040521-4
",0.09
1361,R627,Chrysanthemum Flower Powder,"18-05-105
",0.081
670,R015,ChromaxÃ¢ÂÂ¢ Chromium Picolinate,"1900500008
",0.068
1383,R684,Sunflower Oil Powder 70%,"CONN25134
",0.052
1307,R497,Goldenseal Herb Powder,"2019032
",0.032
1196,R331,Betaine HCl,"20200723-06
",0.032
6,CS#5170,Deep Sea Salt,"68204
",0.0001
